Latitude,Longitude,Number of Structures,Type of building,Building Material,No of storeys,Type of Building Registration,Use of building,Total No. of Family Member,Gender: Male,Gender: Female,Gender: Others,Physically Disabled,Source of Income,Average Salary,Crops Harvest,Irrigation Facility,Electricity Facility,Road Acces,Nearest Health Facility,Animal Husbandary,No. of old member
27.4376868,85.0537138,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,14000,Millet,No,Yes,Yes,7km,,
27.4377708,85.0541892,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,4,2,2,,0,Agriculture,23000,"Maize, Millet",No,Yes,Yes,7km,Goat,1
27.4346391,85.0541803,1,स्थायी भवन,आर.सी.सी.,2,नक्सा पास् र सम्पन्न भएको,Residential,7,4,3,,0,Agriculture,23000,Millet,No,Yes,Yes,7km,Cow,
27.4346447,85.0542881,1,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,4,1,3,,3,Agriculture,5000,"Maize, Millet",No,Yes,Yes,7km,Chicken,
27.4330384,85.0531158,2,स्थायी भवन,आर.सी.सी.,2,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,13000,Millet,No,Yes,Yes,7km,,
27.4349662,85.0513884,2,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् र सम्पन्न भएको,Restaurant,,,,,,"Hotel, Restaurant",55000,"Maize, Millet",No,Yes,Yes,7km,,
27.4318712,85.0547929,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Restaurant,7,3,4,,0,"Hotel, Restaurant",63000,Millet,No,Yes,Yes,6km,,1
27.4314572,85.0557281,2,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Normal Shop,8,5,3,,0,"Hotel, Restaurant",77000,"Maize, Millet",No,Yes,Yes,5km,,2
27.430382,85.060693,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,3,2,,0,Agriculture,23000,"Maize, Millet",No,Yes,Yes,7km,,
27.430577,85.0610493,2,स्थायी भवन,भार वहन,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,0,Agriculture,6500,Millet,No,Yes,Yes,7km,Chicken,2
27.430486,85.0601719,1,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,7,3,4,,0,Agriculture,14000,Millet,No,Yes,Yes,6km,"Cow, Goat",1
27.4257249,85.0590493,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,,,,,,,,"Maize, Millet",No,Yes,Yes,7km,,
27.4252918,85.061169,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,12,5,7,,0,Agriculture,61000,Millet,No,Yes,Yes,6km,Chicken,1
27.4251894,85.0619539,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,5,2,3,,0,Agriculture,23000,"Maize, Millet",No,Yes,Yes,7km,Chicken,1
27.4256065,85.0618166,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,4,3,1,,0,Agriculture,33000,"Maize, Millet",No,Yes,Yes,7km,Goat,0
27.4257518,85.0625683,1,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,1,Agriculture,33000,Millet,No,Yes,Yes,7km,Pig,0
27.4257207,85.063286,2,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,0,Agriculture,12000,"Maize, Millet",No,Yes,Yes,7km,Chicken,1
27.4258036,85.0635665,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,8,4,4,,0,Agriculture,11000,"Maize, Millet",No,Yes,Yes,7km,Chicken,1
27.4257891,85.0641514,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,7,4,3,,1,Agriculture,134000,"Maize, Millet",No,Yes,Yes,7km,Cow,1
27.4278034,85.0631629,1,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,,,,"Maize, Millet",No,Yes,Yes,7km,Chicken,
27.4279849,85.0625956,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,,,,,,,,"Maize, Millet",No,Yes,Yes,7km,,
27.4285809,85.0611964,1,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,9,4,5,,0,Agriculture,14000,"Maize, Millet",No,Yes,Yes,7km,Chicken,2
27.4274257,85.0607323,1,स्थायी भवन,"जस्तापाता, आर.सी.सी.",2,नक्सा पास् र सम्पन्न भएको,Residential,,,,,,,,"Maize, Millet",No,Yes,Yes,7km,,
27.4273243,85.0616069,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,,,,,,,,"Maize, Millet",No,Yes,Yes,7km,,
